	chioceA	choiceB	choiceC	choiceD	answer	sep_choiceA	sep_choiceB	sep_choiceC	sep_choiceD
13	A person is lost in a dense forest, and needs to find their home. They know their home is to the south, and they are headed north. They can find home by using a northern-directing device 	A person is lost in a dense forest, and needs to find their home. They know their home is to the south, and they are headed north. They can find home by using a northern light reader 	A person is lost in a dense forest, and needs to find their home. They know their home is to the south, and they are headed north. They can find home by using a northeastern winds 	A person is lost in a dense forest, and needs to find their home. They know their home is to the south, and they are headed north. They can find home by using a north central credit	A	 northern-directing device 	 northern light reader 	 northeastern winds 	 north central credit
14	A man is searching for his dog in the woods and brings a flashlight. The flashlight has two large batteries in it, which provide light due to wiring 	A man is searching for his dog in the woods and brings a flashlight. The flashlight has two large batteries in it, which provide light through plastic 	A man is searching for his dog in the woods and brings a flashlight. The flashlight has two large batteries in it, which use light to heat the flashlight 	A man is searching for his dog in the woods and brings a flashlight. The flashlight has two large batteries in it, which provide light due to moisture	A	 provide light due to wiring 	 provide light through plastic 	 use light to heat the flashlight 	 provide light due to moisture
15	the summer solstice is on June 21st in the in the south pacific 	the summer solstice is on June 21st in the upper portion of earth 	the summer solstice is on June 21st in the lower portion of earth 	the summer solstice is on June 21st in the the equator near the tropics	B	 in the south pacific 	 upper portion of earth 	 lower portion of earth 	 the equator near the tropics
16	A mouse is being hunted by a Great Horned Owl. The owl watches the mouse carefully, and the mouse is unaware that it is being hunted. The mouse is unable to tell where the owl is, because the owl is invisible 	A mouse is being hunted by a Great Horned Owl. The owl watches the mouse carefully, and the mouse is unaware that it is being hunted. The mouse is unable to tell where the owl is, because the mouse is oblivious 	A mouse is being hunted by a Great Horned Owl. The owl watches the mouse carefully, and the mouse is unaware that it is being hunted. The mouse is unable to tell where the owl is, because the mouse is blind 	A mouse is being hunted by a Great Horned Owl. The owl watches the mouse carefully, and the mouse is unaware that it is being hunted. The mouse is unable to tell where the owl is, because the owl matches its background	D	 the owl is invisible 	 the mouse is oblivious 	 the mouse is blind 	 the owl matches its background
17	You would use a seismometer if A mysterious rumble off the coast of Japan 	You would use a seismometer if Someone farted in class 	You would use a seismometer if Kids were stomping on the floor 	You would use a seismometer if to track the buzz of a bee	A	 A mysterious rumble off the coast of Japan 	 Someone farted in class 	 Kids were stomping on the floor 	 to track the buzz of a bee
18	Many animals that give birth to live young have gills 	Many animals that give birth to live young have scales 	Many animals that give birth to live young have exoskeletons 	Many animals that give birth to live young have legs	D	 gills 	 scales 	 exoskeletons 	 legs
19	A child will only grow if they are provided with a bed 	A child will only grow if they are provided with education 	A child will only grow if they are provided with inspiration 	A child will only grow if they are provided with energy	D	 a bed 	 education 	 inspiration 	 energy
20	Every twenty-four hours and fifty minutes, the moon can have an effect on bodies of water causing them to swell 	Every twenty-four hours and fifty minutes, the moon can have an effect on bodies of water causing them to float 	Every twenty-four hours and fifty minutes, the moon can have an effect on bodies of water causing them to die 	Every twenty-four hours and fifty minutes, the moon can have an effect on bodies of water causing them to burn	A	 swell 	 float 	 die 	 burn
21	The many trees on a forest floor are unable to decay 	The many trees on a forest floor are able to regrow themselves 	The many trees on a forest floor are broken down for good 	The many trees on a forest floor broke, passed, will decay	D	 are unable to decay 	 are able to regrow themselves 	 are broken down for good 	 broke, passed, will decay
22	A car is driving on a highway trying to get up the the speed limit. However, there are strong winds hitting the windshield of the car. Even though the driver is trying to speed up, the high winds flip the car over 	A car is driving on a highway trying to get up the the speed limit. However, there are strong winds hitting the windshield of the car. Even though the driver is trying to speed up, the high winds help the car go faster 	A car is driving on a highway trying to get up the the speed limit. However, there are strong winds hitting the windshield of the car. Even though the driver is trying to speed up, the high winds conflict with the driver's goal 	A car is driving on a highway trying to get up the the speed limit. However, there are strong winds hitting the windshield of the car. Even though the driver is trying to speed up, the high winds move the car sideways	C	 flip the car over 	 help the car go faster 	 conflict with the driver's goal 	 move the car sideways
23	An example of a chemical change is acid breaking down substances, another is flour added to salt 	An example of a chemical change is acid breaking down substances, another is milk added to water 	An example of a chemical change is acid breaking down substances, another is corn added to soup 	An example of a chemical change is acid breaking down substances, another is lemon juice added to milk	D	 flour added to salt 	 milk added to water 	 corn added to soup 	 lemon juice added to milk
24	Matter in the gas phase has fluctuating volume 	Matter in the gas phase has turned up volume 	Matter in the gas phase has turned down volume 	Matter in the gas phase has steady volume	A	 fluctuating volume 	 turned up volume 	 turned down volume 	 steady volume
25	an example of an excellent earth mover is cat 	an example of an excellent earth mover is dog 	an example of an excellent earth mover is annelids 	an example of an excellent earth mover is fish	C	 cat 	 dog 	 annelids 	 fish
26	As a plant's roots get bigger, they split apart worms 	As a plant's roots get bigger, they split apart water 	As a plant's roots get bigger, they split apart granite 	As a plant's roots get bigger, they split apart atoms	C	 worms 	 water 	 granite 	 atoms
27	Heat and moisture in the ocean is a good recipe for a violent storm 	Heat and moisture in the ocean is a good recipe for violent sea animals 	Heat and moisture in the ocean is a good recipe for condensation 	Heat and moisture in the ocean is a good recipe for inland storms	A	 a violent storm 	 violent sea animals 	 condensation 	 inland storms
28	When the moon is full is has a different size 	When the moon is full is has a different weight 	When the moon is full is has a different distance 	When the moon is full is has a different appearance	D	 size 	 weight 	 distance 	 appearance
29	One renewable fuel source is vegetable oil 	One renewable fuel source is coal 	One renewable fuel source is fossil fuel 	One renewable fuel source is petroleum fuel	A	 vegetable oil 	 coal 	 fossil fuel 	 petroleum fuel
30	I can use electrical energy to Run a mile 	I can use electrical energy to Swim 	I can use electrical energy to bake a bagel 	I can use electrical energy to Rock climb	C	 Run a mile 	 Swim 	 bake a bagel 	 Rock climb
31	On the list of a flower's goals would be to produce carbon dioxide 	On the list of a flower's goals would be to deroot and die 	On the list of a flower's goals would be to produce offspring 	On the list of a flower's goals would be to remain sterile	C	 produce carbon dioxide 	 deroot and die 	 produce offspring 	 remain sterile
32	A person wants to buy some reusable equipment for the kitchen, so they get paper plates 	A person wants to buy some reusable equipment for the kitchen, so they get ceramic plates 	A person wants to buy some reusable equipment for the kitchen, so they get solo cups 	A person wants to buy some reusable equipment for the kitchen, so they get plastic forks	B	 paper plates 	 ceramic plates 	 solo cups 	 plastic forks
33	The only stage of the water cycle process that is nonexistent is evaporation 	The only stage of the water cycle process that is nonexistent is evaluation 	The only stage of the water cycle process that is nonexistent is precipitation 	The only stage of the water cycle process that is nonexistent is condensation	B	 evaporation 	 evaluation 	 precipitation 	 condensation
34	The moon's surface is smooth on the entire surface 	The moon's surface contains large cavities cause by explosions 	The moon's surface contains an internal core of cheese 	The moon's surface is filled with lakes	B	 is smooth on the entire surface 	 contains large cavities cause by explosions 	 contains an internal core of cheese 	 is filled with lakes
35	Greenhouses trap the dangerous gases released by plants 	Greenhouses protect plants from snow and frost 	Greenhouses keep plants from getting warm 	Greenhouses protect plants from mild weather	B	 trap the dangerous gases released by plants 	 protect plants from snow and frost 	 keep plants from getting warm 	 protect plants from mild weather
36	Earth rotating causes the cycling of AM and PM 	Earth rotating causes the creation of volcanic eruptions 	Earth rotating causes the cycling of the tides 	Earth rotating causes the creation of gravity	A	 the cycling of AM and PM 	 the creation of volcanic eruptions 	 the cycling of the tides 	 the creation of gravity
37	Sunlight produces heat that causes dogs to bark 	Sunlight produces heat that causes stones to form 	Sunlight produces heat that causes warmth on bodies 	Sunlight produces heat that causes plastic to form	C	 dogs to bark 	 stones to form 	 warmth on bodies 	 plastic to form
38	Scales measure how much belly fat the user has 	Scales measure height of the user 	Scales help users know if they need to drop some lbs. 	Scales help users determine their blood sugar levels	C	 measure how much belly fat the user has 	 measure height of the user 	 help users know if they need to drop some lbs. 	 help users determine their blood sugar levels
39	When producers create food in an ecosystem, a portion of the nutrients are carbs 	When producers create food in an ecosystem, a portion of the nutrients are energy 	When producers create food in an ecosystem, a portion of the nutrients are grass 	When producers create food in an ecosystem, a portion of the nutrients are flowers	A	 carbs 	 energy 	 grass 	 flowers
40	Two ships grazing each other as they pass will cause mayhem 	Two ships grazing each other as they pass will sink them 	Two ships grazing each other as they pass will speed them up 	Two ships grazing each other as they pass will slow them down	D	 cause mayhem 	 sink them 	 speed them up 	 slow them down
41	A battery converts chemical energy into energy stored due to the relative positions of charged particles or electric fields 	A battery converts chemical energy into energy stored due to the bombardment of particles 	A battery converts chemical energy into energy stored between the cells of nonadjacent particles 	A battery converts chemical energy into energy that is broken down in particles	A	 energy stored due to the relative positions of charged particles or electric fields 	 energy stored due to the bombardment of particles 	 energy stored between the cells of nonadjacent particles 	 energy that is broken down in particles
42	Quartz may produce rainbows when light is shined around the crystal's area 	Quartz may produce rainbows when light is shined through any of its sides 	Quartz may produce rainbows when light is shined in the room its in 	Quartz may produce rainbows when light is shined in to a mirror at it	B	 around the crystal's area 	 through any of its sides 	 in the room its in 	 in to a mirror at it
43	A woman is digging under a tree on a tall mountain. She is looking for interesting rocks, and a foot down into the soil, discovers a fossilized fish skeleton. From this discovery, the woman is able to determine that the mountain used to be underwater 	A woman is digging under a tree on a tall mountain. She is looking for interesting rocks, and a foot down into the soil, discovers a fossilized fish skeleton. From this discovery, the woman is able to determine that some bears in mountains eat fish 	A woman is digging under a tree on a tall mountain. She is looking for interesting rocks, and a foot down into the soil, discovers a fossilized fish skeleton. From this discovery, the woman is able to determine that some fish can climb mountains 	A woman is digging under a tree on a tall mountain. She is looking for interesting rocks, and a foot down into the soil, discovers a fossilized fish skeleton. From this discovery, the woman is able to determine that sometimes rain can move fish to high spaces	A	 the mountain used to be underwater 	 some bears in mountains eat fish 	 some fish can climb mountains 	 sometimes rain can move fish to high spaces
44	If the sun has set it is easy to cook a meal 	If the sun has set it is time to eat breakfast 	If the sun has set it is necessary to wear a coat 	If the sun has set it is harder to see outside	D	 easy to cook a meal 	 time to eat breakfast 	 necessary to wear a coat 	 harder to see outside
45	A magnifying glass would allow the user to better view the legs on an ant 	A magnifying glass would enhance the smell of a viewed specimen 	A magnifying glass would blur the legs of an ant 	A magnifying glass would enhance the feel of the user	A	 would allow the user to better view the legs on an ant 	 would enhance the smell of a viewed specimen 	 would blur the legs of an ant 	 would enhance the feel of the user
46	Plants require this to grow fertilizer 	Plants require this to grow cool temperatures 	Plants require this to grow non-organic matter 	Plants require this to grow H2O	D	 fertilizer 	 cool temperatures 	 non-organic matter 	 H2O
47	Renewable resources often come from fossil fuels 	Renewable resources take centuries to biodegrade 	Renewable resources can be used ad infinitum 	Renewable resources should be used conservatively	C	 often come from fossil fuels 	 take centuries to biodegrade 	 can be used ad infinitum 	 should be used conservatively
48	Refraction makes objects appear to be twice their size 	Refraction moves heat energy thru sound waves 	Refraction is the phenomenon involved in mirrors 	Refraction makes a straw appear broken when in a cup of water	D	 makes objects appear to be twice their size 	 moves heat energy thru sound waves 	 is the phenomenon involved in mirrors 	 makes a straw appear broken when in a cup of water
49	Which of these items is required for a deer to live sun 	Which of these items is required for a deer to live iron 	Which of these items is required for a deer to live sand 	Which of these items is required for a deer to live cafeteria	A	 sun 	 iron 	 sand 	 cafeteria
50	Spiders can catch prey by doing all aside from building webs 	Spiders can catch prey by doing all aside from building traps 	Spiders can catch prey by doing all aside from hunting 	Spiders can catch prey by doing all aside from howling	D	 building webs 	 building traps 	 hunting 	 howling
51	I can use a stopwatch to track The number of freckles I have on my back 	I can use a stopwatch to track How long the road is 	I can use a stopwatch to track My weight loss in 6 months 	I can use a stopwatch to track how many marshmallows I can eat in 10 minutes	D	 The number of freckles I have on my back 	 How long the road is 	 My weight loss in 6 months 	 how many marshmallows I can eat in 10 minutes
52	A man plugs his television into an outlet behind a cabinet. He sees that the television may now be turned on so that he can watch his favorite show. The man knows that by hooking the t.v. cord into the outlet he completed a lap 	A man plugs his television into an outlet behind a cabinet. He sees that the television may now be turned on so that he can watch his favorite show. The man knows that by hooking the t.v. cord into the outlet he made a good deal 	A man plugs his television into an outlet behind a cabinet. He sees that the television may now be turned on so that he can watch his favorite show. The man knows that by hooking the t.v. cord into the outlet he invented new circuits 	A man plugs his television into an outlet behind a cabinet. He sees that the television may now be turned on so that he can watch his favorite show. The man knows that by hooking the t.v. cord into the outlet he completed a circuit	D	 he completed a lap 	 he made a good deal 	 he invented new circuits 	 he completed a circuit
53	There are now many more people because of efficient farming 	There are now many more people because of more cities 	There are now many more people because of computers 	There are now many more people because of global warming	A	 efficient farming 	 more cities 	 computers 	 global warming
54	Filling a bottle full of water and then placing it in the freezer can lead to loosening of the bottle lid 	Filling a bottle full of water and then placing it in the freezer can lead to deflation of the bottle 	Filling a bottle full of water and then placing it in the freezer can lead to ice cubes in the freezer 	Filling a bottle full of water and then placing it in the freezer can lead to bursting of the bottle	D	 loosening of the bottle lid 	 deflation of the bottle 	 ice cubes in the freezer 	 bursting of the bottle
55	Fungi can do their food chain jobs without ingestion 	Fungi act as predators in the food chain 	Fungi are always safe to ingest 	Fungi occupy the top of the food chain	A	 can do their food chain jobs without ingestion 	 act as predators in the food chain 	 are always safe to ingest 	 occupy the top of the food chain
56	Compared to a regular swimmer, a scuba diver deals with more heat 	Compared to a regular swimmer, a scuba diver deals with more pressure 	Compared to a regular swimmer, a scuba diver deals with more water 	Compared to a regular swimmer, a scuba diver deals with more air	B	 heat 	 pressure 	 water 	 air
57	Thunder clouds are filled with beautiful music 	Thunder clouds are of a significant weight 	Thunder clouds are the color light pink 	Thunder clouds are take 10 years to form	B	 filled with beautiful music 	 of a significant weight 	 the color light pink 	 take 10 years to form
58	If someone is experiencing frequent falls they should move out of their house 	If someone is experiencing frequent falls they should just stop trying to walk 	If someone is experiencing frequent falls they should try wearing slicker bottomed shoes 	If someone is experiencing frequent falls they should try putting down carpet or throw rugs	D	 they should move out of their house 	 they should just stop trying to walk 	 they should try wearing slicker bottomed shoes 	 they should try putting down carpet or throw rugs
59	It is easiest to get a clear photo of the moon by using a large magnifying glass 	It is easiest to get a clear photo of the moon by using a telephoto lens 	It is easiest to get a clear photo of the moon by using a telescopic lens 	It is easiest to get a clear photo of the moon by looking through a microscope	C	 using a large magnifying glass 	 using a telephoto lens 	 using a telescopic lens 	 looking through a microscope
60	Filling a glass with markers for cup amounts on it would be seeing how much data is left on a phone 	Filling a glass with markers for cup amounts on it would be a part of making chili 	Filling a glass with markers for cup amounts on it would be a way to consider getting something 	Filling a glass with markers for cup amounts on it would be a way to collect data	D	 seeing how much data is left on a phone 	 a part of making chili 	 a way to consider getting something 	 a way to collect data
61	Winter snows follow Autumn's falling leaves by three months 	Winter snows follow Autumn's falling leaves by three days 	Winter snows follow Autumn's falling leaves by three years 	Winter snows follow Autumn's falling leaves by 12 months	A	 three months 	 three days 	 three years 	 12 months
62	The way that squirrels put away food during the cool season ensures that they survive 	The way that squirrels put away food during the cool season ensures that they eat 	The way that squirrels put away food during the cool season ensures that they live 	The way that squirrels put away food during the cool season ensures that they grow	A	 survive 	 eat 	 live 	 grow
63	An example of a consumer would be a deer munching grass 	An example of a consumer would be a plant beginning to photosynthesize 	An example of a consumer would be a squirrel eating a bug 	An example of a consumer would be a wolf eating a deer	A	 a deer munching grass 	 a plant beginning to photosynthesize 	 a squirrel eating a bug 	 a wolf eating a deer
64	Eating and digesting a large meal is guaranteed to produce disease 	Eating and digesting a large meal is guaranteed to produce fecal matter 	Eating and digesting a large meal is guaranteed to produce fuel 	Eating and digesting a large meal is guaranteed to produce fertilizer	B	 disease 	 fecal matter 	 fuel 	 fertilizer
65	Canyons are generally old, huge, and breathtaking and are brimming to full with sand 	Canyons are generally old, huge, and breathtaking and are filled with local wildlife 	Canyons are generally old, huge, and breathtaking and are dirty and muddy inside 	Canyons are generally old, huge, and breathtaking and are typically materialized with stone	D	 brimming to full with sand 	 filled with local wildlife 	 dirty and muddy inside 	 typically materialized with stone
66	If a room is going to be humid, or dry, depends on how much water vapor is in the air, so if a room wants to be humid run a bath 	If a room is going to be humid, or dry, depends on how much water vapor is in the air, so if a room wants to be humid use a dehumidifier 	If a room is going to be humid, or dry, depends on how much water vapor is in the air, so if a room wants to be humid open a window 	If a room is going to be humid, or dry, depends on how much water vapor is in the air, so if a room wants to be humid hope it rains	A	 run a bath 	 use a dehumidifier 	 open a window 	 hope it rains
67	local plant varieties are the best for improving the local social status 	local plant varieties are the best for improving the local environs 	local plant varieties are the best for improving the local satellite reception 	local plant varieties are the best for improving the local future	B	 social status 	 environs 	 satellite reception 	 future
68	Electricity sent through a conductor halts the functioning of the conductor 	Electricity sent through a conductor moves like traffic through a green light 	Electricity sent through a conductor causes fire to flow through the conductor 	Electricity sent through a conductor flows heat back to the conductor	B	 halts the functioning of the conductor 	 moves like traffic through a green light 	 causes fire to flow through the conductor 	 flows heat back to the conductor
69	Oil is a source of a material used for an object with wood planks 	Oil is a source of a material used for an object with cardboard 	Oil is a source of a material used for an object with a large stone 	Oil is a source of a material used for an object with wheels	D	 wood planks 	 cardboard 	 a large stone 	 wheels
70	A magnet would attract a Wooden hairbrush 	A magnet would attract a Oranges 	A magnet would attract a Glassware 	A magnet would attract a Zippers	D	 Wooden hairbrush 	 Oranges 	 Glassware 	 Zippers
71	A person finishes drinking a bottle of water and notices that at the bottom of the bottle is a small symbol, consisting of three arrows in a triangular shape. This symbol tells the person that they should have it reprocessed 	A person finishes drinking a bottle of water and notices that at the bottom of the bottle is a small symbol, consisting of three arrows in a triangular shape. This symbol tells the person that they should burn the bottle 	A person finishes drinking a bottle of water and notices that at the bottom of the bottle is a small symbol, consisting of three arrows in a triangular shape. This symbol tells the person that they should reuse the bottle 	A person finishes drinking a bottle of water and notices that at the bottom of the bottle is a small symbol, consisting of three arrows in a triangular shape. This symbol tells the person that they should remake the bottle	A	 have it reprocessed 	 burn the bottle 	 reuse the bottle 	 remake the bottle
72	In order to better understand the world around us, specialists watch several educational programs 	In order to better understand the world around us, specialists discuss topics with laymen 	In order to better understand the world around us, specialists inspect, note, and consider 	In order to better understand the world around us, specialists make notes in books	C	 watch several educational programs 	 discuss topics with laymen 	 inspect, note, and consider 	 make notes in books
73	A woman leaves some meat on the counter, and bacteria begins to quickly grow on the surface. This bacteria may cause turned food 	A woman leaves some meat on the counter, and bacteria begins to quickly grow on the surface. This bacteria may cause growing beans 	A woman leaves some meat on the counter, and bacteria begins to quickly grow on the surface. This bacteria may cause sticky toffee 	A woman leaves some meat on the counter, and bacteria begins to quickly grow on the surface. This bacteria may cause pocked oranges	A	 turned food 	 growing beans 	 sticky toffee 	 pocked oranges
74	Corn can sometimes be grown in arctic environments 	Corn can sometimes be used as kindling 	Corn can sometimes fuel a steam locomotive 	Corn can sometimes fuel an economy car	D	 be grown in arctic environments 	 be used as kindling 	 fuel a steam locomotive 	 fuel an economy car
75	Coral is a type of living organism which can be identified in only in the pacific ocean 	Coral is a type of living organism which can be identified in saltwater locations that are open 	Coral is a type of living organism which can be identified in any where with liquid 	Coral is a type of living organism which can be identified in water sources in america	B	 only in the pacific ocean 	 saltwater locations that are open 	 any where with liquid 	 water sources in america
76	Having reliable plant sources in a field, a rabbit may react by having larger litters 	Having reliable plant sources in a field, a rabbit may react by finding a mate 	Having reliable plant sources in a field, a rabbit may react by eating more food 	Having reliable plant sources in a field, a rabbit may react by finding new food	A	 having larger litters 	 finding a mate 	 eating more food 	 finding new food
77	December is in the summer in what the southern part of cities 	December is in the summer in what the northern part of Earth 	December is in the summer in what the southern part of the third rock 	December is in the summer in what the southern part of every rock	C	 the southern part of cities 	 the northern part of Earth 	 the southern part of the third rock 	 the southern part of every rock
78	Trembling muscles spasms in animals can be caused in party by temperature in single digits 	Trembling muscles spasms in animals can be caused in party by temperatures in triple digits 	Trembling muscles spasms in animals can be caused in party by finding the right temperatures 	Trembling muscles spasms in animals can be caused in party by being unaware of the temperature	A	 temperature in single digits 	 temperatures in triple digits 	 finding the right temperatures 	 being unaware of the temperature
79	Hummingbirds take what with them Bees 	Hummingbirds take what with them energy 	Hummingbirds take what with them Pollen 	Hummingbirds take what with them Honey	C	 Bees 	 energy 	 Pollen 	 Honey
80	To naturally increase the amount of organic matter in soil add fungi 	To naturally increase the amount of organic matter in soil add sunflowers 	To naturally increase the amount of organic matter in soil add trees 	To naturally increase the amount of organic matter in soil add voles	A	 fungi 	 sunflowers 	 trees 	 voles
81	Peat is an important factor when Driving a new car 	Peat is an important factor when Putting a fresh raspberry seed in soil 	Peat is an important factor when Taking the temperature for the day 	Peat is an important factor when Having a large breakfast	B	 Driving a new car 	 Putting a fresh raspberry seed in soil 	 Taking the temperature for the day 	 Having a large breakfast
82	Carbon dioxide exists where it does because humans expel it 	Carbon dioxide exists where it does because deer eat it 	Carbon dioxide exists where it does because birds use it 	Carbon dioxide exists where it does because trees absorb it	A	 humans expel it 	 deer eat it 	 birds use it 	 trees absorb it
83	What covers over 90% of the Earth's surface and 0% of the moon's surface a magnesium iron silicate mineral 	What covers over 90% of the Earth's surface and 0% of the moon's surface chemical element with the symbol S 	What covers over 90% of the Earth's surface and 0% of the moon's surface the element with the symbol Fe 	What covers over 90% of the Earth's surface and 0% of the moon's surface that which contains 2 hydrogen and 1 oxygen molecules	D	 a magnesium iron silicate mineral 	 chemical element with the symbol S 	 the element with the symbol Fe 	 that which contains 2 hydrogen and 1 oxygen molecules
84	The biggest things on the moon are space stations 	The biggest things on the moon are alien life forms 	The biggest things on the moon are craters 	The biggest things on the moon are moon rocks	C	 space stations 	 alien life forms 	 craters 	 moon rocks
85	Something that shows that the earth changes is a city where a tree was 	Something that shows that the earth changes is a lake where a tree was 	Something that shows that the earth changes is a tree where a bird was 	Something that shows that the earth changes is a plant where a rock was	B	 a city where a tree was 	 a lake where a tree was 	 a tree where a bird was 	 a plant where a rock was
86	A lot of people think that volcanoes may only exist in tall mountains that tower above us, but a lot of volcanoes fall into the oceans 	A lot of people think that volcanoes may only exist in tall mountains that tower above us, but a lot of volcanoes are water leaking volcanoes 	A lot of people think that volcanoes may only exist in tall mountains that tower above us, but a lot of volcanoes erupt into the sea 	A lot of people think that volcanoes may only exist in tall mountains that tower above us, but a lot of volcanoes are found and erupt beneath the water	D	 fall into the oceans 	 are water leaking volcanoes 	 erupt into the sea 	 are found and erupt beneath the water
87	A car slowed down because of bad brakes 	A car slowed down because of the engine size 	A car slowed down because of the wind 	A car slowed down because of the steering wheel	C	 bad brakes 	 the engine size 	 the wind 	 the steering wheel
88	slope is a measure of the difference in elevation from the top to the base of a penny 	slope is a measure of the difference in elevation from the top to the base of a tower 	slope is a measure of the difference in elevation from the top to the base of a pyramid 	slope is a measure of the difference in elevation from the top to the base of a box	C	 penny 	 tower 	 pyramid 	 box
89	In a zoo, a polar bear exhibit will contain salt 	In a zoo, a polar bear exhibit will contain cacti 	In a zoo, a polar bear exhibit will contain strong fans 	In a zoo, a polar bear exhibit will contain sand	C	 salt 	 cacti 	 strong fans 	 sand
90	Precipitation sometimes leads to mountains 	Precipitation sometimes leads to earthquakes 	Precipitation sometimes leads to volcanoes 	Precipitation sometimes leads to caves	D	 mountains 	 earthquakes 	 volcanoes 	 caves
91	When the scientist finally completed his new invention he thanked his powers of observation 	When the scientist finally completed his new invention he thanked his lucky stars 	When the scientist finally completed his new invention he thanked his mother 	When the scientist finally completed his new invention he thanked his grandmother	A	 powers of observation 	 lucky stars 	 mother 	 grandmother
92	When the game console's power cable was attached to the wall, electricity ended up in the plug 	When the game console's power cable was attached to the wall, electricity ended up in the power cable 	When the game console's power cable was attached to the wall, electricity ended up in the wall 	When the game console's power cable was attached to the wall, electricity ended up in the game console	D	 the plug 	 the power cable 	 the wall 	 the game console
93	Some birds have scooped beaks, but others have sharp beaks such as peregrine falcons 	Some birds have scooped beaks, but others have sharp beaks such as pelicans 	Some birds have scooped beaks, but others have sharp beaks such as toucans 	Some birds have scooped beaks, but others have sharp beaks such as snakes	A	 peregrine falcons 	 pelicans 	 toucans 	 snakes
94	People commonly have bad reactions to what they get from a discount store 	People commonly have bad reactions to what they get from a lawyer 	People commonly have bad reactions to what they get from a catalog 	People commonly have bad reactions to what they get from a pharmacy	D	 discount store 	 lawyer 	 catalog 	 pharmacy
95	What happens to body water when animal activity rises the water decreases 	What happens to body water when animal activity rises it stays same 	What happens to body water when animal activity rises the water increases 	What happens to body water when animal activity rises the water hardens	A	 the water decreases 	 it stays same 	 the water increases 	 the water hardens
96	More carbon dioxide is in the air in the past decade than ever before, probably because more cattle produced 	More carbon dioxide is in the air in the past decade than ever before, probably because more plant life 	More carbon dioxide is in the air in the past decade than ever before, probably because human population increased 	More carbon dioxide is in the air in the past decade than ever before, probably because less water area	C	 more cattle produced 	 more plant life 	 human population increased 	 less water area
